# i  x  y  z   fx  fy  fz   energy
170 -6.50737 8.93456 8.38891 -0.00426102 0.00915734 -0.0111156 -0.0260375
171 -7.87538 -11.5214 -8.12241 0.0043403 -0.0114461 0.0124034 -0.0247006
172 -15.1139 -2.03119 -13.9959 -0.0178578 -0.00388474 -0.0180495 -0.00906956
173 7.19917 -0.94687 -6.11841 0.00363627 0.00815995 -0.00803201 -0.0244968
174 -15.6003 5.85332 -3.79407 -0.0292133 -0.00826106 0.00650219 -0.012098
175 -9.15117 10.7365 -11.0405 -0.000257512 -0.0158377 0.00440453 -0.0177216
176 -1.21684 -8.35673 -6.53148 -0.0123343 0.000547045 0.00351185 -0.0183743
177 -4.08121 13.1153 14.0851 -0.00763461 0.0277593 0.00515693 -0.0120646
178 -13.0553 0.78775 3.20896 0.00667785 -0.0134162 -0.00253326 -0.0296335
179 -14.934 -12.364 2.0461 -0.0184543 -0.0102518 -0.00965345 -0.0118281
180 -9.41992 -5.37172 10.31 -0.0171425 -0.0107716 0.00349065 -0.0292396
181 5.9571 3.4206 -15.5453 0.00689603 -0.0159586 -0.0313964 -0.014088
182 -14.4437 -10.8651 15.5444 -0.0106537 0.0178038 0.0258422 -0.0129261
183 8.48781 -12.0128 -5.70996 -0.00802938 -0.00204714 -0.00474781 -0.020434
184 -10.5572 -8.76844 -12.0925 0.0152461 -0.00993878 -0.0242855 -0.0271548
185 -0.35585 -4.71111 -0.0621 0.0010312 -0.00215609 -0.000938437 -0.0165793
186 -7.36242 4.31794 7.65332 -0.00319369 -0.0118074 0.0254852 -0.024646
187 2.15975 -3.9267 -3.53121 0.023284 -0.00723775 0.0143698 -0.0192392
188 -3.70234 -2.11791 3.37378 0.0085124 -0.0021842 -0.000720134 -0.026143
189 -14.034 6.98991 8.1423 -0.00580284 0.0272302 -0.00623971 -0.0187204
190 -5.9799 -10.1402 8.46096 0.000261609 -0.0151349 0.00411074 -0.0221493
191 7.87538 -3.74063 0.45975 0.00103127 -0.0150307 0.0029973 -0.0213247
192 8.51164 9.90314 -8.89286 0.0133373 -0.00182153 -0.004804 -0.0178801
193 6.19668 11.4275 -6.74176 0.00403398 0.00883639 -0.0131742 -0.0167633
194 -4.87475 -12.148 10.4221 -0.00376713 0.00566644 0.0112136 -0.0282848
195 3.70899 6.83713 -2.4898 0.0101111 -0.00644548 -0.00324195 -0.0228408
196 7.72641 0.52567 5.39525 -0.00720662 0.0228431 0.0041157 -0.0260367
197 -2.18201 9.42539 11.2015 0.0165592 0.0201867 0.000950338 -0.0208574
198 -10.9275 12.1819 12.3758 -0.012878 0.00130408 0.00252194 -0.0189859
199 8.57096 10.5097 -0.14368 0.00874277 -1.26769e-05 0.024604 -0.0261194
200 -14.014 4.53197 12.8896 -0.0135609 0.000489595 0.0155194 -0.0106023
201 0.04927 7.80005 3.52103 0.00936401 0.00800217 0.0321559 -0.0278889
202 -3.761 -12.1731 -10.5788 -0.00315066 -0.000947515 -0.00176059 -0.0265601
203 -10.6511 -11.8261 -7.27707 -0.0160988 -0.0104369 0.0266238 -0.0214535
204 -6.7695 12.4683 9.22741 0.0161193 -0.0144032 -0.00594869 -0.0209336
205 4.75728 -10.6771 -13.0283 0.00159909 -0.00691912 -0.00977893 -0.0127459
206 9.26232 -7.76649 4.78548 0.0186005 -0.0117136 -0.0155427 -0.0248733
207 -15.1509 10.8162 -14.6552 -0.0189414 0.00557213 -0.0125506 -0.00925269
208 -11.0718 1.88646 14.7644 -0.000123232 -0.0053184 0.0207397 -0.0167143
209 6.42127 8.3789 0.24403 0.0158779 -0.00537733 0.00606744 -0.0228834
210 13.0818 10.1343 1.74962 0.016649 0.0174563 -0.0174598 -0.0177703
211 -11.8239 5.65683 4.65922 -0.00820858 -0.000201722 -0.0125421 -0.0261754
212 5.17964 -11.8959 12.1405 0.00732188 0.0141427 0.0240799 -0.0188905
213 -13.5199 13.9401 -13.1288 -0.0108719 0.0237902 0.0267069 -0.0136344
214 2.13499 -1.4904 8.0106 -0.00751053 -0.0131307 0.00295935 -0.017981
215 -15.5795 1.25454 5.3844 -0.0334615 -0.0152157 0.00647114 -0.0113455
216 5.65942 -7.67867 -3.49209 -0.0223753 -0.0202517 0.0237255 -0.0319896
217 -0.10643 -2.52287 -8.64695 -0.0106647 -0.020207 0.0157073 -0.0236703
218 3.18156 -9.76403 11.0987 0.0227575 0.0180566 0.0148678 -0.0216798
219 -15.0791 2.61587 -13.3623 -0.0227637 -0.0195478 -0.00909918 -0.0106292
220 11.3509 1.22964 14.2066 0.000199944 -0.0116888 0.00681741 -0.0141692
221 -15.5062 12.3334 -1.11749 -0.0447107 0.0222384 0.00488797 -0.0167873
222 -6.78013 5.423 -4.78934 0.00355628 -0.0220902 -0.00367522 -0.0212638
